STATUS,ISOTYPE,CDR3_AA_LENGTH,CDR3_AA_GRAVY,CDR3_AA_BASIC,CDR3_AA_ACIDIC,CDR3_AA_AROMATIC,CDR3_AA_ALIPHATIC,CDR3_AA_POLARITY
SLE,IgD,15,-0.44666666666666666,0,0.13333333333333333,0.13333333333333333,0.4533333333333333,8.426666666666668
SLE,IgD,15,0.22666666666666668,0,0.06666666666666667,0.06666666666666667,0.52,8.193333333333333
SLE,IgD,15,-0.7866666666666667,0,0.06666666666666667,0.4666666666666667,0.19333333333333333,7.526666666666667
SLE,IgM,15,-0.7200000000000001,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.7133333333333333,9.093333333333334
SLE,IgM,15,-0.22666666666666668,0.06666666666666667,0.13333333333333333,0.4,0.26,7.866666666666666
SLE,IgM,15,-0.6333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.4533333333333333,8.746666666666666
SLE,IgM,15,-0.7333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4533333333333333,8.846666666666666
SLE,IgM,15,-0.9,0.06666666666666667,0.2,0.13333333333333333,0.26,8.966666666666667
SLE,IgM,15,-0.5399999999999999,0.06666666666666667,0.2,0.13333333333333333,0.52,8.913333333333332
SLE,IgM,15,-0.44666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.4533333333333333,8.293333333333333
SLE,IgM,15,-0.66,0.2,0.06666666666666667,0.26666666666666666,0.52,8.26
SLE,IgM,15,-0.9266666666666666,0.2,0.13333333333333333,0.13333333333333333,0.52,8.666666666666666
SLE,IgM,15,-1.4066666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.26,8.7
SLE,IgM,15,-0.8266666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.52,8.493333333333334
SLE,IgM,15,-1.1666666666666667,0.13333333333333333,0.06666666666666667,0.2,0.26,8.633333333333333
SLE,IgM,15,-1.16,0.06666666666666667,0.2,0.06666666666666667,0.26,9.453333333333335
SLE,IgM,15,-1.3533333333333333,0.2,0.06666666666666667,0.26666666666666666,0.26,8.833333333333334
SLE,IgM,15,-0.8266666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.52,8.293333333333333
SLE,IgM,15,-0.15333333333333335,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.8466666666666666,8.633333333333333
SLE,IgM,15,-0.8133333333333334,0.2,0.06666666666666667,0.2,0.52,8.513333333333334
SLE,IgM,15,-0.8066666666666666,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.26,8.173333333333334
SLE,IgM,15,-0.34,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.52,7.806666666666667
SLE,IgM,15,-0.44666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.52,8.48
SLE,IgM,15,0.7266666666666667,0.13333333333333333,0.06666666666666667,0.2,1.1,7.433333333333334
SLE,IgM,15,-0.6133333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.3266666666666667,8.7
HC,IgM,15,-0.9466666666666668,0.2,0.13333333333333333,0.26666666666666666,0.52,8.406666666666666
HC,IgM,15,-0.92,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.26,8.193333333333333
HC,IgM,15,-0.2933333333333333,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.5866666666666667,8.066666666666666
HC,IgM,15,0.2933333333333333,0.06666666666666667,0.06666666666666667,0.2,0.52,7.953333333333333
SLE,IgM,15,-1.1066666666666667,0.13333333333333333,0.06666666666666667,0.4,0.26,7.953333333333333
SLE,IgM,15,-0.46666666666666673,0.13333333333333333,0.2,0.26666666666666666,0.7799999999999999,8.253333333333334
SLE,IgG,15,-0.6666666666666666,0.06666666666666667,0.2,0.26666666666666666,0.4533333333333333,8.4
SLE,IgG,15,-1.16,0.13333333333333333,0.13333333333333333,0.2,0.26,8.553333333333335
HC,IgA,15,-0.6133333333333334,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.52,7.760000000000001
SLE,IgM,15,-1.1066666666666667,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.26,8.786666666666667
SLE,IgG,14,-0.9142857142857144,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.35000000000000003,8.785714285714286
SLE,IgG,15,-0.44666666666666666,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.52,7.7733333333333325
SLE,IgM,15,-0.46666666666666673,0.13333333333333333,0.2,0.26666666666666666,0.7799999999999999,8.253333333333334
SLE,IgA,15,0.03999999999999996,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.52,7.819999999999999
SLE,IgM,15,-0.9466666666666668,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.26,8.473333333333333
SLE,IgG,14,-0.1285714285714286,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.6285714285714287,7.892857142857143
SLE,IgD,14,-1.2,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.4857142857142857,9.107142857142858
SLE,IgM,14,0.07857142857142858,0.14285714285714285,0.07142857142857142,0.07142857142857142,1.042857142857143,8.171428571428573
SLE,IgG,14,-1.4571428571428573,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.35000000000000003,9.278571428571428
SLE,IgD,14,-1.4857142857142858,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.07142857142857142,8.757142857142856
SLE,IgG,14,-0.5,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.6285714285714287,8.885714285714286
SLE,IgD,14,-1.0214285714285716,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.6285714285714287,8.828571428571427
SLE,IgG,14,-0.3857142857142857,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.6285714285714287,8.892857142857142
SLE,IgM,14,0.00714285714285715,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6285714285714287,8.807142857142857
SLE,IgM,14,0.11428571428571425,0.14285714285714285,0.07142857142857142,0,0.9071428571428571,8.192857142857143
SLE,IgD,14,-0.8857142857142858,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.5571428571428572,8.492857142857144
SLE,IgG,14,-1.3785714285714286,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.07142857142857142,8.964285714285714
SLE,IgD,14,-0.40714285714285714,0.2857142857142857,0.07142857142857142,0,1.1142857142857143,8.457142857142857
SLE,IgG,14,-0.18571428571428575,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.42142857142857143,8.442857142857143
SLE,IgD,14,-0.0357142857142857,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.7642857142857142,8.028571428571428
SLE,IgD,14,0.1214285714285714,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.8357142857142856,7.335714285714286
SLE,IgG,14,-0.7285714285714285,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.7642857142857142,8.392857142857142
SLE,IgG,14,0.32142857142857134,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.7714285714285715,8.171428571428573
HC,IgM,14,0.5357142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7642857142857142,7.992857142857143
HC,IgM,14,-1.3571428571428572,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.35000000000000003,9.042857142857143
HC,IgD,14,-1.2857142857142858,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.6285714285714287,9.02142857142857
HC,IgD,14,-1.0142857142857142,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.6285714285714287,8.971428571428572
HC,IgG,14,-0.3928571428571429,0.21428571428571427,0,0.14285714285714285,0.7714285714285715,8.135714285714286
HC,IgA,14,-0.4928571428571429,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.6285714285714287,8.614285714285714
HC,IgG,14,-1.5214285714285716,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.07142857142857142,9.135714285714286
HC,IgM,14,0.6357142857142858,0.14285714285714285,0.07142857142857142,0.07142857142857142,1.042857142857143,7.714285714285714
SLE,IgG,15,-0.38666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.6466666666666666,8.2
SLE,IgG,15,-0.44666666666666666,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.52,7.7733333333333325
SLE,IgA,15,-0.6333333333333333,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.26,8.139999999999999
SLE,IgG,15,-1.0266666666666666,0.2,0.06666666666666667,0.2,0.4533333333333333,8.693333333333333
SLE,IgD,15,-0.5666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.5866666666666667,8.706666666666667
SLE,IgG,15,-0.09333333333333335,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.3266666666666667,8.639999999999999
SLE,IgM,15,-0.3266666666666667,0.06666666666666667,0.13333333333333333,0,0.39333333333333337,8.953333333333335
SLE,IgM,15,-0.24000000000000002,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.3266666666666667,7.9
SLE,IgD,14,-0.4857142857142857,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.7642857142857142,8.471428571428572
SLE,IgM,15,0.4533333333333333,0,0.06666666666666667,0.26666666666666666,0.6533333333333334,7.673333333333333
SLE,IgM,15,-0.8066666666666668,0.2,0.13333333333333333,0.3333333333333333,0.52,8.326666666666666
SLE,IgM,15,-0.22666666666666663,0.13333333333333333,0.2,0.06666666666666667,0.7799999999999999,8.786666666666667
SLE,IgM,15,-0.11999999999999998,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.5866666666666667,7.906666666666666
